verb	verb_id	object	sentence	phrase
alter	39	light-responsiveness	We have used whole-cell voltage clamp methods to examine whether DOPAMINE can ALTER the LIGHT-RESPONSIVENESS of horizontal cells by changing their sensitivity to the neurotransmitter released by the photoreceptors .	...dopamine can alter the light-responsiveness of...
enhance	63	conductances	We report that DOPAMINE and cyclic AMP , although having little direct effect on resting membrane conductance , greatly ENHANCE ionic CONDUCTANCES gated by kainate , an agonist of the transmitter released by the photoreceptors , and by L-glutamate , the agent proposed to be the photoreceptor transmitter .	...dopamine and cyclic AMP , although having little direct effect on resting membrane conductance , greatly enhance ionic conductances gated...
inhibited	2	release	Epinephrine and serotonin stimulated TSH release , and DOPAMINE and somatostatin INHIBITED TRH-stimulated TSH RELEASE .	...dopamine and somatostatin inhibited TRH-stimulated TSH release ....
inhibited	2	release	Noradrenaline and DOPAMINE ( 0.1 - 100 microM ) INHIBITED 45Ca2 + uptake and glutamate RELEASE induced by veratrine ( 25 microM ) in cortical and striatal slices but were without effect when added alone .	...dopamine ( 0.1 - 100 microM ) inhibited 45Ca2 + uptake and glutamate release induced...
produces	32	effects	The results indicate that DOPAMINE PRODUCES multiple physiological EFFECTS on cone horizontal cells by activation of an intracellular enzyme system .	...dopamine produces multiple physiological effects on...
injected	-1	increases	At different levels of the holding potential on neuron R2 membrane in the Aplysia depilans abdominal ganglion , DOPAMINE INJECTED intracellularly INCREASES the amplitude of both inward and outward currents recorded in response to the application of acetylcholine ( ACh ) to the ganglion surface .	...dopamine injected intracellularly increases the...
increased	1	content	In quiescent cells , epinephrine ( EN ) and DOPAMINE ( DA ) markedly INCREASED the NGF CONTENT in the conditioned medium ( CM ) .	...dopamine ( DA ) markedly increased the NGF content in...
inhibits	0	secretion	Serum concentrations of GtH were increased by sGnRH-A in a dose-related fashion ; a low dose of domperidone substantially increased the sensitivity of the serum GtH response to sGnRH-A. These results indicate that DOPAMINE INHIBITS GtH SECRETION from the goldfish pituitary by acting through a specific mechanism mediated by a dopamine D2 receptor .	...dopamine inhibits GtH secretion from...
influence	34	effect	The data also suggest that DOPAMINE and GnRH , although acting through different receptors , INFLUENCE the EFFECT of each other on GtH release .	...dopamine and GnRH , although acting through different receptors , influence the effect of...
inhibited	2	release	In particular , DOPAMINE completely INHIBITED the RELEASE stimulated by forskolin .	...dopamine completely inhibited the release stimulated...
plays	3	role	To investigate whether DOPAMINE PLAYS a ROLE in the regulation of aldosterone secretion during long-term blockade of the renin-angiotensin system , we studied the effect of metoclopramide , a competitive antagonist of dopamine , in 6 patients with essential hypertension chronically treated with the angiotensin converting enzyme inhibitor enalapril .	...dopamine plays a role in...
exerts	11	effect	The increase in plasma aldosterone following competitive dopamine blockade in the face of chronic angiotensin converting enzyme inhibition , unchanged plasma potassium and ACTH levels strongly suggests that in hypertensive patients , DOPAMINE EXERTS a direct inhibitory EFFECT on aldosterone secretion .	...dopamine exerts a direct inhibitory effect on...
increased	1	potential	At micromolar concentrations , DOPAMINE , a retinal neurotransmitter , INCREASED the standing POTENTIAL of the eye .	...dopamine , a retinal neurotransmitter , increased the standing potential of...
abolished	-1	response	At slightly higher concentrations , DOPAMINE ABOLISHED the " light peak , " a slow voltage RESPONSE to light generated by the retinal pigment epithelium .	...dopamine abolished the " light peak , " a slow voltage response to...
modulate	15	productions	Angiotensin II and DOPAMINE MODULATE both cAMP and inositol phosphate PRODUCTIONS in anterior pituitary cells .	...dopamine modulate both cAMP and inositol phosphate productions in...
inhibit	13	activity	Despite their opposite effects on prolactin secretion , both DOPAMINE and angiotensin II INHIBIT adenylate cyclase ACTIVITY in homogenates of anterior pituitary cells in primary culture .	...dopamine and angiotensin II inhibit adenylate cyclase activity in...
regulate	26	release	Serotonin and DOPAMINE independently REGULATE pituitary beta-endorphin RELEASE in vivo .	...dopamine independently regulate pituitary beta-endorphin release in...
inhibits	0	secretion	This study was done to define the concentration of DOPAMINE ( DA ) that INHIBITS gonadotropin SECRETION and to study the effect of DA D-2 receptor blockade during the infusions .	...dopamine ( DA ) that inhibits gonadotropin secretion and...
inhibit	13	secretion	The postulation that DOPAMINE ( DA ) may tonically INHIBIT aldosterone ( ALDO ) SECRETION has arisen from the finding that metoclopramide , a non-selective DA receptor antagonist with prominent non-dopaminergic actions , stimulates ALDO secretion .	...dopamine ( DA ) may tonically inhibit aldosterone ( ALDO ) secretion has...
produce	52	change	These results suggest that DOPAMINE may PRODUCE CHANGE in the firing patterns of GP neurons by either acting directly or attenuating GABAergic inhibitory transmission from the neostriatum .	...dopamine may produce change in...
decreased	23	rate	On the other hand , dopaminergic drugs , apomorphine , bromocriptine , DOPAMINE , lergotrile and lisuride , DECREASED the RATE of release of IR-beta-Ep .	...dopamine , lergotrile and lisuride , decreased the rate of...
increased	1	release	In contrast , DOPAMINE and DB-cAMP infused during autoregulatory vasodilation INCREASED renin RELEASE without significantly changing PGE2 release .	...dopamine and DB-cAMP infused during autoregulatory vasodilation increased renin release without...
stimulate	25	release	In contrast , DOPAMINE and DB-cAMP STIMULATE renin RELEASE without increasing PGE2 release as previously found for beta-adrenergic stimulation .	...dopamine and DB-cAMP stimulate renin release without...
stimulate	25	GTPase	Opiate and DOPAMINE STIMULATE different GTPASE in striatum : evidence for distinct modulatory mechanisms of adenylate cyclase .	...dopamine stimulate different GTPase in...
had	5	effect	Neither glycine or strychnine , nor DOPAMINE or haloperidol HAD any EFFECT on the spontaneous release .	...dopamine or haloperidol had any effect on...
affect	19	mammotrophs	Calcium , cAMP , and DOPAMINE AFFECT single MAMMOTROPHS assayed by hemolytic plaques .	...dopamine affect single mammotrophs assayed...
inhibits	0	it	Morphine and enkephalin effectively enhance pituitary prolactin release , whereas DOPAMINE INHIBITS IT .	...dopamine inhibits it ....
had	5	effect	In contrast , ACTH , DOPAMINE , serotonin , and beta-endorphin HAD no EFFECT .	...dopamine , serotonin , and beta-endorphin had no effect ....
inhibits	0	activity	Locally formed DOPAMINE INHIBITS Na+-K+-ATPase ACTIVITY in rat renal cortical tubule cells .	...dopamine inhibits Na+-K+-ATPase activity in...
inhibits	0	activity	To determine whether locally formed DOPAMINE INHIBITS Na+-K+-ATPase ACTIVITY in intact cortical tubule cells we studied the effect of L-dopa on ouabain-sensitive oxygen consumption rate ( QO2 ) and 86Rb uptake in renal cortical tubule cell suspensions .	...dopamine inhibits Na+-K+-ATPase activity in...
induce	27	reactions	Furthermore , noradrenaline , histamine , DOPAMINE , angiotensin II , carbachol , and tumor growth factor-beta did not INDUCE phospholipase C REACTIONS .	...dopamine , angiotensin II , carbachol , and tumor growth factor-beta did not induce phospholipase C reactions ....
promote	89	production	Acetylcholine and DOPAMINE PROMOTE the PRODUCTION of platelet activating factor in immature cells of chick embryonic retina .	...dopamine promote the production of...
improved	51	performance	Thus , DOPAMINE and dopexamine hydrochloride IMPROVED overall LV PERFORMANCE .	...dopamine and dopexamine hydrochloride improved overall LV performance ....
modulate	15	action	These results suggest that DOPAMINE may MODULATE the ACTION of NT in the rat cerebral cortex .	...dopamine may modulate the action of...
influence	34	accumulation	Resolution by HPLC of inositol trisphosphate into inositol-1,3,4-tris-phosphate and inositol-1,4,5-trisphosphate isomers revealed that under basal conditions DOPAMINE did not INFLUENCE the ACCUMULATION of inositol-1,4,5-trisphosphate .	...dopamine did not influence the accumulation of...
enhanced	33	hydrolysis	In the presence of lithium , DOPAMINE ( 100 microM ) ENHANCED KCl-stimulated inositol phospholipid HYDROLYSIS , but this effect appears to be mediated by alpha 1 adrenoceptors because it was blocked by prazosin .	...dopamine ( 100 microM ) enhanced KCl-stimulated inositol phospholipid hydrolysis ,...
inhibits	0	release	Although DOPAMINE INHIBITS PRL RELEASE from the normal anterior pituitary lactotroph , a conclusive demonstration of the mechanisms involved in this response has been impeded by the presence of other cell types in the anterior pituitary .	...dopamine inhibits PRL release from...
inhibits	0	release	Our studies show that DOPAMINE INHIBITS secretagogue-induced PRL RELEASE from these cells .	...dopamine inhibits secretagogue-induced PRL release from...
decreases	41	concentration	In addition , DOPAMINE DECREASES the intracellular cAMP CONCENTRATION in MMQ cells that have been exposed to forskolin , cholera toxin , or vasoactive intestinal polypeptide , each a stimulator of cAMP generation .	...dopamine decreases the intracellular cAMP concentration in...
decreases	41	release	It seems , therefore , that DOPAMINE DECREASES PRL RELEASE from MMQ cells at least in part by decreasing intracellular cAMP levels and calcium uptake .	...dopamine decreases PRL release from...
show	46	relationships	Serotonin and DOPAMINE SHOW similar dose-response RELATIONSHIPS when they relax tonically contracted intact muscle fibres of the anterior byssus retractor muscle of Mytilus edulis .	...dopamine show similar dose-response relationships when...
caused	8	inhibition	The existence of both subtypes of dopamine receptor in the superior cervical ganglion was ascertained further as DOPAMINE itself CAUSED INHIBITION of ganglionic transmission which was antagonized by either S- or R-sulpiride .	...dopamine itself caused inhibition of...
inhibited	2	activity	Somatostatin , L-dopa , DOPAMINE and CB-154(2-bromo-alpha-ergocriptine ) competitively INHIBITED the pituitary cyclic AMP phosphodiesterase ACTIVITY , especially that of the low Km enzyme .	...dopamine and CB-154(2-bromo-alpha-ergocriptine ) competitively inhibited the pituitary cyclic AMP phosphodiesterase activity ,...
